383	szczypiorek	44	mały pęczek szczypiorku	20
384	cukier	44	łyżeczka cukru	6
385	sól	44	łyżeczka soli	6
386	pieprz	44	łyżeczka pieprzu	6
387	olej	44	6 łyżek oleju	60
388	mąka pszenna	45	300 g mąki pszennej	300
389	woda	45	150ml wody	150
390	olej	45	2 łyżki oleju	20
391	sól	45	1/2 łyżeczki soli	3
392	twaróg półtłusty	45	180 g twarogu półtłustego	180
393	cebula	45	średnia cebula	180
394	ziemniak	45	300 g ugotowanych ziemniaków	300
395	masło klarowane	45	1 łyżka masła klarowanego	10
396	sól	45	1/2 łyżeczki soli	3
397	pieprz	45	1/2 łyżeczki pieprzu	3
398	mąka pszenna	46	300 g mąki pszennej	300
399	woda	46	150 ml ciepłej wody	150
400	olej	46	2 łyżki oleju	20
401	sól	46	2 łyżeczki soli	12
402	pomidor	46	2 duże pomidory	350
403	cebula	46	1 średnia cebula	200
404	masło klarowane	46	1 łyżka masła klarowanego	10
405	olej	46	2 łyżki oleju	20
406	ziemniak	47	1 kg ugotowanych ziemniaków	1000
407	mąka pszenna	47	9 czubatych łyżek mąki pszennej tortowej	220
408	jajko	47	1 średnie lub małe jajko	50
409	sól	47	łyżeczka soli	6
410	ziemniak	48	1 kg ugotowanych ziemniaków	1000
411	skrobia ziemniaczana	48	200 g skrobi ziemniaczanej	200
412	jajko	48	1 średnie jajko	50
413	sól	48	1/2 łyżeczki soli	3
414	kurka	49	400 gramów kurek	400
415	jajko	49	6 dużych jajek	330
416	masło	49	3 łyżki masła	30
417	koper	49	garść świeżego koperku	20
418	sok z cytryny	49	łyżka soku z cytryny	10
419	sól	49	1/2 łyżeczki soli	3
420	pieprz	49	1/3 łyżeczki pieprzu	2
421	cukinia	50	1 cukinia	400
422	jajko	50	2 średnie jajka	110
423	mąka pszenna	50	4 łyżki mąki pszennej	40
424	śmietana 18%	50	1 łyżka kwaśnej śmietany 18%	10
425	czosnek	50	1 ząbek czosnku	5
426	szczypiorek	50	garść cienkiego szczypiorku	20
427	pieprz	50	1/2 łyżeczki pieprzu	3
428	sól	50	1/3 łyżeczki soli	2
429	olej	50	4 łyżki oleju	40
430	karp	51	1 tuszka karpia	1500
431	sok z cytryny	51	sok z jednej cytryny	50
432	sól	51	1 łyżka soli	10
433	bułka tarta	51	2 łyżki bułki tartej	20
434	mąka pszenna	51	1 łyżka mąki pszennej	10
435	masło klarowane	51	4 łyżki masła klarowanego	40
436	makaron	52	250 gramów suchego makaronu	250
437	tuńczyk	52	2 małe puszki tuńczyka z zalewy lub z oleju	250
438	pomidor koktajlowy	52	2 garście pomidorków koktajlowych	200
439	czarna oliwka	52	spora garść czarnych oliwek	70
440	czosnek	52	6 ząbków czosnku	30
441	oliwa	52	10 łyżek delikatnej oliwy	100
442	sok z cytryny	52	sok z połówki cytryny	25
443	natka pietruszki	52	garść siekanej natki pietruszki	20
444	sól	52	1/2 łyżeczki soli	3
445	pieprz	52	1/2 łyżeczki pieprzu	3
446	śledź	53	500 g filetów śledziowych	500
447	jabłko	53	2 średnie jabłka	400
448	cebula	53	2 małe cebule	300
449	śmietana 18%	53	300 g śmietany kwaśnej 18%	300
450	koper	53	garść siekanego koperku	20
451	szczypiorek	53	pół garści siekanego szczypiorku	15
452	sól	53	łyżka soli	10
453	pieprz	53	łyżka pieprzu	10
454	ryż	54	2 torebki ryżu	200
455	bulion	54	1 szklanka bulionu	250
456	cebula	54	3 średnie cebule	440
457	marchew	54	2 średnie marchewki	250
458	olej	54	6 łyżek oleju	60
459	koncentrat pomidorowy	54	5 łyżek koncentratu pomidorowego	50
460	papryka słodka	54	3 łyżki słodkiej papryki	30
461	chili	54	1 łyżeczka chili	6
462	sól	54	1/2 łyżeczki soli	3
463	pieprz	54	1/2 łyżeczki peiprzu	3
464	łosoś	55	700 g filetów łososia z skórą	700
465	miód	55	1 łyżka miodu	10
466	czosnek	55	3 ząbki czosnku	15
467	sok z cytryny	55	sok z połówki cytryny	25
468	rozmaryn	55	kilka gałązek rozmarynu	6
469	sól	55	1/2 łyżeczki soli	3
470	pieprz	55	1/3 łyżeczki pieprzu	2
471	oliwa	55	2 łyżki delikatnej oliwy	20
472	łosoś	56	1 płat z łososia ze skórą	240
473	masło klarowane	56	1 łyżka masła klarowanego	10
474	pieprz	56	łyżka pieprzu	10
475	sól	56	łyżka soli	10
476	śledź bałtycki	57	5 tuszek śledzi bałtyckich	400
477	olej	57	3 łyżki oleju	30
478	mąka pszenna	57	1,5 łyżki mąki pszennej	15
479	sól	57	1/2 łyżeczki soli	3
480	pieprz	57	1/2 łyżeczki pieprzu	3
481	czosnek suszony	57	łyżeczka suszonego czosnku	6
482	makaron ryżowy	58	makaron ryżowy	200
483	krewetka	58	400 g krewetek	400
484	czosnek	58	5 ząbków czosnku	25
485	masło klarowane	58	3 łyżki masła klarowanego	30
486	sezam	58	2 łyżki sezamu	20
487	sos sojowy	58	1/4 szklanki sosu sojowego	62
488	kolendra	58	garść świeżej kolendry	20
489	imbir	58	łyżeczka imbiru	6
490	pieprz cytrynowy	58	łyżeczka pieprzu cytrynowego	6
491	chili	58	łyżeczka chili	6
492	kalafior	59	230 kalafiora	230
493	brokuł	59	130g brokuła	130
494	marchew	59	25 marchewki	25
495	fasola szparagowa	59	40g fasolki szparagowej	40
496	cukinia	59	140 cukinii	140
497	masło klarowane	59	50ml masła klarowanego	50
498	cytryna	59	cytryna	25
499	cukier	59	łyżeczka cukru	6
500	pieprz biały	59	szczypta białego pieprzu	0.25
501	cebula	60	cebula	100
502	olej	60	łyżka oleju	10
503	pieprz	60	szczypta pieprzu	0.25
504	sól	60	szczypta soli	0.25
505	koncentrat pomidorowy	60	2 łyżki koncentratu pomidorowego	50
506	mrożone warzywa	60	200g mrożonych warzyw	200
507	serce drobiowe	60	250g drobiowych serc	250
508	mleko	61	70ml mleka	70
509	jajko	61	jajko	55
510	mąka	61	1/2 szklanki mąki	125
511	woda gazowana	61	15ml wody gazowanej	15
512	olej	61	łyżka oleju	10
513	sól	61	szczypta soli	0.25
514	wiśniówka	61	12ml wiśniówki	12
515	rozmaryn	61	szczypta rozmarynu	1
516	oscypek	61	50g oscypków	50
517	żurawina	61	70g żurawiny	70
518	bułka tarta	61	łyżka bułki tartej	10.0
519	bakłażan	62	60g bakłażana	60
520	ketchup	62	20ml ketchupu	20
521	cebula	62	40g cebuli	40
522	czosnek	62	ząbek czosnku	7
523	olej	62	łyżka oleju	10
524	kolendra	62	20g kolendry	20
525	sos sojowy	62	łyżka sosu sojowego	10
526	bagietka	62	kawałek bagietki	40
527	papryka czerwona	62	50g papryki czerwonej	50
528	papryka żółta	62	50g papryki żółta	50
529	kasza jaglana	63	120g kaszy jaglanej	120
530	pomidor koktajlowy	63	300g pomidorów koktajlowych	300
531	papryka czerwona	63	papryka czerwona	250
532	pestki słonecznika	63	4 łyżki pestek słonecznika	40
533	cebula czerwona	63	cebula czerwona	90
534	bazylia	63	garść bazylii	3
535	pieprz	64	szczypta pieprzu	0.25
536	sól	64	szczypta soli	0.25
537	imbir	64	łyżeczka startego imbiru	6
538	olej	64	łyżeczka oleju	6
539	grzyby shiitake	64	50g grzybów shiitake	50
540	cebula dymka	64	cebula dymka	20
541	kapusta pekińska	64	190g kapusty pekińskiej	190
542	papryka czerwona	64	70g papryki czerwonej	70
543	czosnek	64	2 ząbki czosnku	14
544	ziemniak	65	2 małe ziemniaki	120
545	mąka	65	łyżka mąki	10
546	proszek do pieczenia	65	łyżeczka proszku do pieczenia	6
547	cukinia	65	120g cukinii	120
548	papryka czerwona	65	70g papryki czerwonej	70
549	papryka zielona	65	50g papryki zielonej	50
550	bakłażan	65	70g bakłażana	70
551	musztarda sarepska	65	łyżka musztardy sarepskiej	10
552	pieprz ziołowy	65	szczypta pieprzy ziołowego	0.25
553	cząber	65	szczypta cząbru	1
554	jajko	65	jajko	55
555	mąka pszenna	66	25g mąki pszennej	25
556	mąka ziemniaczana	66	10g mąki ziemniaczanej	10
557	woda gazowana	66	25ml wody gazowanej	50
558	jajko	66	małe jajko	40
559	sól	66	sczypta soli	0.2
560	proszek do pieczenia	66	1/2 łyżeczki proszku do pieczenia	3
561	krewetka	66	2 krewetki z ogonkami	30
562	krążki z kalmara	66	2 krążki z kalmara	20
563	ośmiornica	66	1 mała ośmiornica	50
564	cebula	66	10g cebuli	10
565	cukinia	66	15g cukinii	15
566	papryka czerwona	66	40g papryki czerwonej	40
567	sos sojowy	66	15ml sosu sojowego	15
568	limonka	66	15g limonki	15
569	chrzan	66	1g chrzanu	1
570	olej	66	125ml oleju	125
571	filet z piersi kurczaka	67	150g filetu z piersi kurczaka	150
572	czosnek	67	ząbek czosnku	7
573	przecier pomidorowy	67	70ml przecieru pomidorowego	70
574	miód	67	łyżka miodu	25
575	musztarda	67	łyżka musztardy	15
576	sok z cytryny	67	łyżka soku z cytryny	10
577	sos Tabasco	67	pół łyżeczki sosu Tabasco	3
578	sól	67	sczypta soli	0.25
579	oliwa	67	łyżeczka oliwy	6
580	bułka	67	bułka (ok. 80g)	80
581	olej	68	łyżeczka oleju	6
